"lang"
{
	"Language"		"English"
	"Tokens"
	{		
		"addon_game_name"													"The Underhollow"
		"cavern_game_info_header_how_to_play"								"HOW TO PLAY:"
		"cavern_game_info_brief_description"								"Battle to be the last team standing! Clear rooms to find treasures and build up your power—then use that power to destroy your opponents. Win the game, find rare and valuable cheeses, or eliminate opposing players to earn Battle Points."
		"cavern_game_info_encounters_header"								"Room Difficulty"
		"cavern_game_info_encounters"										"Rooms closer to the center of the Underhollow are more challenging."
		"cavern_game_info_roshan_header"									"Roshan"
		"cavern_game_info_roshan"											"Roshan destroys a ring of rooms every five minutes, starting with the easier outer ring."
		"cavern_game_info_tombstone_header"									"Tombstones"
		"cavern_game_info_tombstone"										"Tombstones can be used to revive teammates or eliminate enemies."
		"cavern_game_info_special_items"									"Special Items"
		"cavern_game_info_roshefort_header"									"Rare Cheese"
		"cavern_game_info_roshefort"										"Unearth rare cheeses—or the Roshefort wheel—for bonus Battle Points."
		"cavern_game_info_roshefort_header"									"Special Items"
		"cavern_game_info_roshefort"										"Blast through obstacles—or enemies—with Dynamite, or slip away unseen with the Escape Potion."
		"DOTA_Underhollow_Defeated"											"Your team was eliminated!"
		"DOTA_Underhollow_FinishPosition"									"You finished in {s:finish_position}"
		"DOTA_Underhollow_PlayAgain"										"PLAY AGAIN"
		"DOTA_Underhollow_Disconnect"										"DISCONNECT"
		"DOTA_Underhollow_TotalEarnedPoints"								"TOTAL POINTS EARNED:"
		"DOTA_Underhollow_PointsAvaiable"									"POINTS WILL BE AWARDED WHEN GAME FINISHES"
		"DOTA_Underhollow_Elimination_RewardAmount"							"30 BP"
		"DOTA_Underhollow_SmallCheeses_RewardAmount"						"20 BP"
		"DOTA_Underhollow_BigCheeses_RewardAmount"							"300 BP"
		"DOTA_Underhollow_Points_X"											"{d:num_earned} X "

		"DOTA_Tooltip_Ability_item_cavern_bag_of_gold"						"Bag of Gold"

		"DOTA_Tooltip_Ability_item_big_cheese_cavern"						"Roshefort Cheese"

		"DOTA_Tooltip_modifier_item_big_cheese_cavern_effect"				"Roshefort Cheese"


		"DOTA_Tooltip_Ability_item_health_potion"							"Health Potion"
		"DOTA_Tooltip_Ability_item_mana_potion"								"Mana Potion"					
		
		"DOTA_Tooltip_ability_item_book_of_strength"						"Book of Strength"
		"DOTA_Tooltip_ability_item_book_of_strength_Description"			"Consume to gain 3 Strength permanently."
		"DOTA_Tooltip_ability_item_book_of_agility"							"Book of Agility"
		"DOTA_Tooltip_ability_item_book_of_agility_Description"				"Consume to gain 3 Agility permanently."
		"DOTA_Tooltip_ability_item_book_of_intelligence"					"Book of Intelligence"
		"DOTA_Tooltip_ability_item_book_of_intelligence_Description"		"Consume to gain 3 Intelligence permanently."

		"DOTA_Tooltip_modifier_book_of_strength"							"Book of Strength"
		"DOTA_Tooltip_modifier_book_of_strength_Description"				"Strength gained from consumed Books."
		"DOTA_Tooltip_modifier_book_of_agility"								"Book of Agility"
		"DOTA_Tooltip_modifier_book_of_agility_Description"					"Agility gained from consumed Books."
		"DOTA_Tooltip_modifier_book_of_intelligence"						"Book of Intelligence"
		"DOTA_Tooltip_modifier_book_of_intelligence_Description"			"Intelligence gained from consumed Books."

		"npc_dota_crate"													"Crate"
		"npc_treasure_chest"												"Treasure Chest"
		"npc_dota_pendulum_trap"											"Pendulum Blade"
		"npc_dota_cavern_gate_destructible_tier1"							"Tier 1 Gate"
		"npc_dota_cavern_gate_destructible_tier1_anim"						"Tier 1 Gate Animating"
		"npc_dota_cavern_gate_destructible_tier2"							"Tier 2 Gate"
		"npc_dota_cavern_gate_destructible_tier2_anim"						"Tier 2 Gate Animating"
		"npc_dota_cavern_gate_destructible_tier3"							"Tier 3 Gate"
		"npc_dota_cavern_gate_destructible_tier3_anim"						"Tier 3 Gate Animating"
		"npc_dota_splitter_1"												"Large Splitter"
		"npc_dota_splitter_2"												"Medium Splitter"
		"npc_dota_splitter_3"												"Small Splitter"
		"npc_dota_cavern_roshan"											"Roshan"
		"npc_dota_cavern_life_stealer"										"Caged Menace"
		"npc_dota_ranged_creep_linear"										"Deformed Wizard"
		"npc_dota_creature_techies_land_mine"								"Land Mine"
		"npc_dota_minimage"													"Mini-Mage"
		"trap_sun_strike"													"Sun Strike"
		"npc_dota_creature_pugna"											"Lord Of Oblivion"
		"npc_dota_creature_earthshaker"										"Protector of the Red Mountain"
		"npc_dota_creature_pudge"											"Pudge"
		"npc_dota_creature_juggernaut"										"Juggernaut"
		"npc_dota_creature_basic_zombie"									"Zombie"
		"npc_dota_creature_troll_berserker"									"Troll"
		"npc_dota_creature_troll_camp1"										"Troll Camp"
		"npc_dota_creature_ghost"											"Ghost"
		"npc_dota_statue_bounty_hunter"										"Statue of Gondar"
		"npc_dota_statue_beastmaster"										"Statue of Karroch"
		"npc_dota_creature_armed_dynamite"									"Stick o' Dynamite"
		"npc_dota_creature_shadow_shaman_ward"								"Summoned Serpent"
		"npc_dota_friendly_hawk"											"Hawk Companion"
		"npc_dota_friendly_boar"											"Boar Companion"
		"npc_dota_creature_small_pangoballer"								"Little Pango"
		"npc_dota_creature_large_pangoballer"								"Pangoballer"
		"npc_dota_neutral_forest_troll_berserker_cavern"					"Troll"
		"npc_dota_creature_ogre_tank"										"Ogre Smasher"
		"npc_dota_creature_sniper"											"Crazed Sniper"
		"npc_dota_creature_enigma"											"The Void"
		"npc_dota_creature_viper"											"Viperling"
		"npc_dota_creature_big_viper"										"Netherdrake"
		"npc_dota_creature_invoker"											"A Tiny Carl"
		"npc_dota_creature_wraith_king"										"Knight of Ostarion"
		"npc_dota_creature_lycan"											"Lycanthrope"
		"npc_dota_creature_small_omni"										"Omniminiknight"
		"npc_dota_creature_small_eimermole"									"Eimermole Worker"
		"npc_dota_creature_large_eimermole"									"Eimermole Taskmaster"
		"npc_dota_creature_dark_willow"										"Elder Fae"
		"npc_dota_creature_night_stalker"									"Stalker"
		"npc_dota_creature_lich"											"Ol' Frosty One"

		"DOTA_TEAM_CUSTOM_1"												"Pink"
		"DOTA_TEAM_CUSTOM_2"												"Orange"
		"DOTA_TEAM_CUSTOM_3"												"Blue"
		"DOTA_TEAM_CUSTOM_4"												"Green"
		"DOTA_TEAM_CUSTOM_5"												"Brown"
		"DOTA_TEAM_CUSTOM_6"												"Cyan"
		"DOTA_TEAM_CUSTOM_7"												"Olive"
		"DOTA_TEAM_CUSTOM_8"												"Purple"

		"DOTA_Tooltip_ability_item_tombstone"								"Resurrect Teammate"
		"DOTA_Tooltip_ForEnemy_ability_item_tombstone"						"Eliminate Player"
		"DOTA_Tooltip_Ability_item_tome_of_knowledge_cavern"				"Experience Tome"
		"DOTA_Chat_Tombstone_Pinged"										"Fallen teammate here."
		"DOTA_Tooltip_Ability_item_cavern_dynamite"							"Stick o' Dynamite"
		"DOTA_Tooltip_Ability_item_cavern_dynamite_Description"				"Detonates after 4 seconds, dealing 1000 physical damage. Can be used to remove destructible walls and rock walls."
		"DOTA_Tooltip_Ability_item_deployable_shop"							"Pocket Shop"
		"DOTA_Tooltip_Ability_item_deployable_shop_Description"				"Deploys a shop at the target location."

		"DOTA_Tooltip_ability_beastmaster_statue_boar_poison"					"Poison"
		"DOTA_Tooltip_ability_beastmaster_statue_boar_poison_Description"		"Inflicts a poison that slows attack and movement speeds."
		"DOTA_Tooltip_ability_beastmaster_statue_boar_poison_attack_speed"		"ATTACK SLOW:"
		"DOTA_Tooltip_ability_beastmaster_statue_boar_poison_movement_speed"	"%MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_beastmaster_statue_boar_poison_duration"			"DURATION:"		

		"DOTA_Tooltip_Ability_item_cavern_treasure_tier1"						"Small Cheese Wedge"
		"DOTA_Tooltip_Ability_item_cavern_treasure_tier1_Description"			"It's fragrant."

		"DOTA_Tooltip_Ability_item_cavern_treasure_tier2"						"Medium Cheese Wedge"
		"DOTA_Tooltip_Ability_item_cavern_treasure_tier2_Description"			"It's aromatic."

		"DOTA_Tooltip_Ability_item_cavern_treasure_tier3"						"Large Cheese Wedge"
		"DOTA_Tooltip_Ability_item_cavern_treasure_tier3_Description"			"It's delightfully pungent."

		"DOTA_Tooltip_Ability_item_potion_of_cowardice"							"Escape Potion"					
		"DOTA_Tooltip_Ability_item_potion_of_cowardice_Description"				"Grants 15 seconds of invisibility and %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% bonus movement speed. Silenced, muted, and disarmed for the duration. Attacking or casting a spell will break the effect."	

		"DOTA_Tooltip_modifier_potion_of_cowardice_buff"						"Escape Potion"
