"lang"
{
"Language"	"portuguese"
"Tokens"
{
"addon_game_name"	"Siltbreaker"
"[english]addon_game_name"	"Siltbreaker"
"DOTA_GameMode_15"	"Siltbreaker"
"[english]DOTA_GameMode_15"	"Siltbreaker"
"DOTA_GameMode_19"	"Siltbreaker"
"[english]DOTA_GameMode_19"	"Siltbreaker"
"DOTA_Tooltip_Ability_item_health_potion"	"Poção de vida"
"[english]DOTA_Tooltip_Ability_item_health_potion"	"Health Potion"
"DOTA_Tooltip_Ability_item_mana_potion"	"Poção de mana"
"[english]DOTA_Tooltip_Ability_item_mana_potion"	"Mana Potion"
"DOTA_Tooltip_ability_item_bag_of_gold"	"Saco de Ouro"
"[english]DOTA_Tooltip_ability_item_bag_of_gold"	"Bag of Gold"
"DOTA_Tooltip_Ability_item_life_rune"	"Runa de Vida"
"[english]DOTA_Tooltip_Ability_item_life_rune"	"Life Rune"
"DOTA_Tooltip_ability_item_book_of_strength"	"Book of Strength"
"[english]DOTA_Tooltip_ability_item_book_of_strength"	"Book of Strength"
"DOTA_Tooltip_ability_item_book_of_strength_Description"	"Ao ser consumido, este item concede um bónus permanente de 3 pontos de Força."
"[english]DOTA_Tooltip_ability_item_book_of_strength_Description"	"Consume to gain 3 Strength permanently."
"DOTA_Tooltip_ability_item_book_of_agility"	"Book of Agility"
"[english]DOTA_Tooltip_ability_item_book_of_agility"	"Book of Agility"
"DOTA_Tooltip_ability_item_book_of_agility_Description"	"Ao ser consumido, este item concede um bónus permanente de 3 pontos de Agilidade."
"[english]DOTA_Tooltip_ability_item_book_of_agility_Description"	"Consume to gain 3 Agility permanently."
"DOTA_Tooltip_ability_item_book_of_intelligence"	"Book of Intelligence"
"[english]DOTA_Tooltip_ability_item_book_of_intelligence"	"Book of Intelligence"
"DOTA_Tooltip_ability_item_book_of_intelligence_Description"	"Ao ser consumido, este item concede um bónus permanente de 3 pontos de Inteligência."
"[english]DOTA_Tooltip_ability_item_book_of_intelligence_Description"	"Consume to gain 3 Intelligence permanently."
"DOTA_Tooltip_ability_item_creed_of_omniscience"	"<font color=\"#4ae0bf\">Creed of Omniscience</font>"
"[english]DOTA_Tooltip_ability_item_creed_of_omniscience"	"<font color=\"#4ae0bf\">Creed of Omniscience</font>"
"DOTA_Tooltip_ability_item_creed_of_omniscience_Description"	"Requer nível: %required_level%\n\nEfeito passivo: Concede experiência adicional.\n"
"[english]DOTA_Tooltip_ability_item_creed_of_omniscience_Description"	"Required Level: %required_level%\n\nPassive: Grants bonus experience.\n"
"DOTA_Tooltip_ability_item_creed_of_omniscience_bonus_xp"	"%EXP. ADICIONAL:"
"[english]DOTA_Tooltip_ability_item_creed_of_omniscience_bonus_xp"	"%BONUS XP:"
"DOTA_Tooltip_ability_item_creed_of_omniscience_Lore"	"O Omnisciente honra-me!"
"[english]DOTA_Tooltip_ability_item_creed_of_omniscience_Lore"	"The Omniscience honors me!"
"DOTA_Tooltip_ability_item_oblivions_locket"	"<font color=\"#4ae0bf\">Oblivion's Locket</font>"
"[english]DOTA_Tooltip_ability_item_oblivions_locket"	"<font color=\"#4ae0bf\">Oblivion's Locket</font>"
"DOTA_Tooltip_ability_item_oblivions_locket_Description"	"Requer nível: %required_level%\n\nHabilidade ativa: Spook - REQUER CONCENTRAÇÃO - Torna-te etéreo e imune a dano físico mas sofres mais %extra_spell_damage_percent%%% de dano mágico durante até 1 segundo.\n"
"[english]DOTA_Tooltip_ability_item_oblivions_locket_Description"	"Required Level: %required_level%\n\nActive: Spook - CHANNELLED - Become ethereal, immune to physical but taking %extra_spell_damage_percent%%% extra magic damage for up to 1 second.\n"
"DOTA_Tooltip_ability_item_oblivions_locket_bonus_all_stats"	"BÓNUS EM TODOS OS ATRIBUTOS:"
"[english]DOTA_Tooltip_ability_item_oblivions_locket_bonus_all_stats"	"BONUS ALL STATS:"
"DOTA_Tooltip_ability_item_oblivions_locket_Lore"	"Um amuleto de um esqueleto. Usado para impedir que passes um mau bocado."
"[english]DOTA_Tooltip_ability_item_oblivions_locket_Lore"	"A skeleton's charm. Used to prevent having a bad time."
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf"	"<font color=\"#4ae0bf\">Pelt of the Old Wolf</font>"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf"	"<font color=\"#4ae0bf\">Pelt of the Old Wolf</font>"
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Description"	"Requer nível: %required_level%"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Description"	"Required Level: %required_level%"
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Lore"	"A floresta pode ser um lugar traiçoeiro; nunca baixes a guarda."
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Lore"	"The wild can be a treachorous place; don't let your guard down."
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_armor"	"BÓNUS DE ARMADURA:"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_armor"	"BONUS ARMOR:"
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_move_speed"	"BÓNUS DE RAPIDEZ DE MOVIMENTO:"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_move_speed"	"BONUS MOVE SPEED:"
"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_evasion"	"%BÓNUS DE EVASÃO:"
"[english]DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_evasion"	"%BONUS EVASION:"
"DOTA_Tooltip_ability_item_paw_of_lucius"	"<font color=\"#4ae0bf\">Paw of Lucius</font>"
"[english]DOTA_Tooltip_ability_item_paw_of_lucius"	"<font color=\"#4ae0bf\">Paw of Lucius</font>"
"DOTA_Tooltip_ability_item_paw_of_lucius_Description"	"Requer nível: %required_level%\n\nEfeito passivo: Os ataques têm uma probabilidade de %rupture_chance%%% de infligir Rupture (Se um inimigo se deslocar enquanto sob o efeito de Rupture, ele sofre dano com base na distância percorrida).\n"
"[english]DOTA_Tooltip_ability_item_paw_of_lucius_Description"	"Required Level: %required_level%\n\nPassive: Attacks have a %rupture_chance%%% chance to inflict Rupture.\n"
"DOTA_Tooltip_ability_item_paw_of_lucius_Lore"	"Esta garra faz um corte profundo."
"[english]DOTA_Tooltip_ability_item_paw_of_lucius_Lore"	"This claw cuts deep."
"DOTA_Tooltip_ability_item_paw_of_lucius_bonus_strength"	"BÓNUS DE FORÇA:"
"[english]DOTA_Tooltip_ability_item_paw_of_lucius_bonus_strength"	"BONUS STRENGTH:"
"DOTA_Tooltip_ability_item_paw_of_lucius_bonus_attack_speed"	"BÓNUS DE RAPIDEZ DE ATAQUE:"
"[english]DOTA_Tooltip_ability_item_paw_of_lucius_bonus_attack_speed"	"BONUS ATTACK SPEED:"
"DOTA_Tooltip_ability_item_longclaws_amulet"	"<font color=\"#4ae0bf\">Longclaw's Amulet</font>"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet"	"<font color=\"#4ae0bf\">Longclaw's Amulet</font>"
"DOTA_Tooltip_ability_item_longclaws_amulet_Description"	"Requer nível: %required_level%\n"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_Description"	"Required Level: %required_level%\n"
"DOTA_Tooltip_ability_item_longclaws_amulet_Lore"	"A magia é um tanto invulgar na Floresta Uivante, e os seus segredos protegidos cuidadosamente."
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_Lore"	"Magic is somewhat uncommon in the Weald, its secrets closely guarded."
"DOTA_Tooltip_ability_item_longclaws_amulet_spell_lifesteal_pct"	"%ROUBO DE VIDA POR HABILIDADES:"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_spell_lifesteal_pct"	"%SPELL LIFESTEAL:"
"DOTA_Tooltip_ability_item_longclaws_amulet_cooldown_reduction_pct"	"%REDUÇÃO DE COOLDOWNS:"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_cooldown_reduction_pct"	"%COOLDOWN REDUCTION:"
"DOTA_Tooltip_ability_item_longclaws_amulet_mana_cost_reduction_pct"	"%REDUÇÃO DOS CUSTOS DE MANA:"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_mana_cost_reduction_pct"	"%MANA COST REDUCTION:"
"DOTA_Tooltip_ability_item_bogduggs_cudgel"	"<font color=\"#4ae0bf\">Bogdugg's Cudgel</font>"
"[english]DOTA_Tooltip_ability_item_bogduggs_cudgel"	"<font color=\"#4ae0bf\">Bogdugg's Cudgel</font>"
