"lang"
{
"Language"	"greek"
"Tokens"
{
"addon_game_name"	"Siltbreaker"
"[english]addon_game_name"	"Siltbreaker"
"DOTA_GameMode_15"	"Siltbreaker"
"[english]DOTA_GameMode_15"	"Siltbreaker"
"DOTA_GameMode_19"	"Siltbreaker"
"[english]DOTA_GameMode_19"	"Siltbreaker"
"DOTA_Tooltip_ability_item_bag_of_gold"	"Σάκος χρυσού"
"[english]DOTA_Tooltip_ability_item_bag_of_gold"	"Bag of Gold"
"DOTA_Tooltip_ability_item_book_of_strength_Description"	"Παρέχει μόνιμα 3 επιπλέον δύναμη."
"[english]DOTA_Tooltip_ability_item_book_of_strength_Description"	"Consume to gain 3 Strength permanently."
"DOTA_Tooltip_ability_item_book_of_agility"	"Book of Agility"
"[english]DOTA_Tooltip_ability_item_book_of_agility"	"Book of Agility"
"DOTA_Tooltip_ability_item_book_of_agility_Description"	"Παρέχει μόνιμα 3 επιπλέον σβελτάδα."
"[english]DOTA_Tooltip_ability_item_book_of_agility_Description"	"Consume to gain 3 Agility permanently."
"DOTA_Tooltip_ability_item_longclaws_amulet_cooldown_reduction_pct"	"%ΜΕΙΩΣΗ ΕΠΑΝΑΦΟΡΤΙΣΗΣ:"
"[english]DOTA_Tooltip_ability_item_longclaws_amulet_cooldown_reduction_pct"	"%COOLDOWN REDUCTION:"
"DOTA_Tooltip_ability_item_bogduggs_cudgel_bonus_strength"	"ΕΠΙΠΛΕΟΝ ΔΥΝΑΜΗ:"
"[english]DOTA_Tooltip_ability_item_bogduggs_cudgel_bonus_strength"	"BONUS STRENGTH:"
"DOTA_Tooltip_ability_item_bogduggs_cudgel_bonus_damage"	"ΕΠΙΠΛΕΟΝ ΖΗΜΙΑ:"
"[english]DOTA_Tooltip_ability_item_bogduggs_cudgel_bonus_damage"	"BONUS DAMAGE:"
"DOTA_Tooltip_ability_item_bogduggs_baldric"	"<font color=\"#4ae0bf\">Bogdugg's Baldric</font>"
"[english]DOTA_Tooltip_ability_item_bogduggs_baldric"	"<font color=\"#4ae0bf\">Bogdugg's Baldric</font>"
"DOTA_Tooltip_ability_item_bogduggs_baldric_Description"	"Απαιτούμενο επίπεδο: %required_level%\n"
"[english]DOTA_Tooltip_ability_item_bogduggs_baldric_Description"	"Required Level: %required_level%\n"
"DOTA_Tooltip_ability_item_bogduggs_baldric_bonus_armor"	"ΕΠΙΠΛΕΟΝ ΑΜΥΝΑ:"
"[english]DOTA_Tooltip_ability_item_bogduggs_baldric_bonus_armor"	"BONUS ARMOR:"
"DOTA_Tooltip_ability_item_bogduggs_lucky_femur_Description"	"Απαιτούμενο επίπεδο: %required_level%\n\nΑφού εκτελεστεί μια ικανότητα, έχει %refresh_pct%%% πιθανότητα να γίνει άμεσα διαθέσιμη ξανά.\n"
"[english]DOTA_Tooltip_ability_item_bogduggs_lucky_femur_Description"	"Required Level: %required_level%\n\nPassive: Skillshot - After an ability is cast, it has a %refresh_pct%%% chance to be immediately refreshed.\n"
"DOTA_Tooltip_ability_item_preserved_skull_Lore"	"Πού είναι η μαγκιά σου τώρα;"
"[english]DOTA_Tooltip_ability_item_preserved_skull_Lore"	"Where be your gibes now?"
"DOTA_Tooltip_ability_item_guardian_shell_Lore"	"Συνέχισε πάντα εμπρός, χωρίς να σε επιβαρύνουν τα θνητά εγκόσμια προβλήματα."
"[english]DOTA_Tooltip_ability_item_guardian_shell_Lore"	"Push ever onward, unburdened by mortal cares."
"DOTA_Tooltip_ability_item_watchers_gaze_Lore"	"Κοίτα τους εχθρούς και δες τους να πετρώνουν στη θέα σου."
"[english]DOTA_Tooltip_ability_item_watchers_gaze_Lore"	"Look upon thine enemies and see them petrify before you."
"DOTA_Tooltip_ability_item_carapace_of_qaldin_Description"	"Απαιτούμενο επίπεδο: %required_level%\n\nΔιπλασιάζει κάθε αναγέννηση ζωής και ενέργειας και ένα ποσοστό της ολικής εισερχόμενης ζημιάς επιστρέφεται στον επιτιθέμενο.\n"
"[english]DOTA_Tooltip_ability_item_carapace_of_qaldin_Description"	"Required Level: %required_level%\n\nPassive: Acidic Regeneration - All mana and health gained are doubled, and a percentage of all damage taken is reflected back upon the attacker.\n"
"DOTA_Tooltip_ability_item_the_caustic_finale_Lore"	"Το καυστικό δώρο πάντα πληρώνεται προκαταβολικά."
"[english]DOTA_Tooltip_ability_item_the_caustic_finale_Lore"	"The caustic gift is always paid forward."
"DOTA_Tooltip_ability_item_tombstone"	"Resurrect Teammate"
"[english]DOTA_Tooltip_ability_item_tombstone"	"Resurrect Teammate"
"DOTA_Chat_Tombstone_Pinged"	"Νεκρός συμπαίκτης εδώ."
"[english]DOTA_Chat_Tombstone_Pinged"	"Fallen teammate here."
"Dungeon_ReachedCheckpoint"	"Ο {s:player_name} έφτασε σε ένα νέο ορόσημο!"
"[english]Dungeon_ReachedCheckpoint"	"{s:player_name} reached a new checkpoint!"
"desert_start"	"Ο ΔΡΟΜΟΣ ΠΡΟΣ Kalabor"
"[english]desert_start"	"The Road to Kalabor"
"desert_town"	"Η ΟΑΣΗ ΤΟΥ Kalabor"
"[english]desert_town"	"Kalabor Oasis"
"kill_spider_boss"	"Εξουδετερώστε τη βασίλισσα Αράχνη"
"[english]kill_spider_boss"	"Defeat the Spider Queen"
"kill_centaur_warlords"	"Εξουδετερώστε τους αρχηγούς των κενταύρων"
"[english]kill_centaur_warlords"	"Defeat the Centaur Warlords"
"assault_the_desert_fortress"	"Βρείτε τη φωλιά του Rhyzik"
"[english]assault_the_desert_fortress"	"Find Rhyzik's Lair"
"kill_sand_king"	"Εξουδετερώστε τον Rhyzik"
"[english]kill_sand_king"	"Defeat Rhyzik"
"npc_dota_creature_hellbear"	"Berzerker Hellbear"
"[english]npc_dota_creature_hellbear"	"Berzerker Hellbear"
"npc_dota_forest_camp_chief"	"Commander Targan"
"[english]npc_dota_forest_camp_chief"	"Commander Targan"
"npc_dota_radiant_captain"	"Captain Lightfoot"
"[english]npc_dota_radiant_captain"	"Captain Lightfoot"
"npc_dota_holdout_tower"	"Πύργος"
"[english]npc_dota_holdout_tower"	"Watchtower"
"npc_dota_creature_techies_land_mine"	"Land Mine"
"[english]npc_dota_creature_techies_land_mine"	"Land Mine"
"npc_dota_creature_catapult"	"Linebreaker Catapult"
"[english]npc_dota_creature_catapult"	"Linebreaker Catapult"
"DOTA_Tooltip_ability_holdout_shackleshot"	"Shackleshot"
"[english]DOTA_Tooltip_ability_holdout_shackleshot"	"Shackleshot"
"DOTA_Tooltip_ability_holdout_shackleshot_Description"	"Δένει τον στόχο σε εχθρική μονάδα ή δέντρο που βρίσκεται σε ευθεία από πίσω του. Αν δεν υπάρχει μονάδα ή δέντρο, η χρονική διάρκεια του σαστίσματος μειώνεται σε 0.75. <font color='#70EA72'>Αν η δέσμευση πραγματοποιηθεί σε μια δεύτερη μονάδα, τότε θα συνεχίσει πίσω από αυτήν τη μονάδα, μέχρι να φτάσει στο μέγιστο αριθμό στόχων ή δεν βρεθεί άλλη μονάδα ή δέντρο.</font>"
"[english]DOTA_Tooltip_ability_holdout_shackleshot_Description"	"Shackles the target to enemy units or a tree in a line directly behind it.  If no unit or tree is present, the stun duration is reduced to 0.75.  <font color='#70EA72'>If a shackle is made to a second unit, the shackle will bounce and continue behind that unit, until the max count is reached or no unit or tree is found.</font>"
"DOTA_Tooltip_ability_holdout_shackleshot_Lore"	"H ποικιλία των ικανοτήτων της Windranger περιλαμβάνει ένα βέλος δεμένο με πυκνά σχοινιά για να εμποδίσει οποιονδήποτε στόχο που τρέπεται σε φυγή."
"[english]DOTA_Tooltip_ability_holdout_shackleshot_Lore"	"Windranger's variety of bow skills includes an arrow with thick ropes attached to encumber any escaping target."
"DOTA_Tooltip_ability_holdout_shackleshot_shackle_count"	"<font color='#70EA72'>ΑΡΙΘΜΟΣ ΔΕΣΜΩΝ:</font>"
"[english]DOTA_Tooltip_ability_holdout_shackleshot_shackle_count"	"<font color='#70EA72'>SHACKLE COUNT:</font>"
"DOTA_Tooltip_ability_holdout_shackleshot_Note0"	"Μπορεί να δέσει δύο εχθρούς μαζί, προκαλώντας σάστισμα και στους δύο."
"[english]DOTA_Tooltip_ability_holdout_shackleshot_Note0"	"This spell can shackle two enemies together, stunning them both."
"DOTA_Tooltip_ability_holdout_shackleshot_Note1"	"Μπορεί να δέσει τον στόχο σε εχθρό ή δέντρο το πολύ 525/500 πίσω του."
"[english]DOTA_Tooltip_ability_holdout_shackleshot_Note1"	"Can shackle the target to an enemy unit or tree at most 525/500 behind it."
"DOTA_Tooltip_ability_holdout_shackleshot_Note2"	"Δεν μπορεί να αποφευχθεί."
