"lang"
{
"Language"	"swedish"
"Tokens"
{
"DOTA_Tooltip_ability_item_bag_of_gold"	"Guldsäck"
"[english]DOTA_Tooltip_ability_item_bag_of_gold"	"Bag of Gold"
"DOTA_GameMode_15"	"Dark Moon"
"[english]DOTA_GameMode_15"	"Dark Moon"
"DOTA_GameMode_19"	"Dark Moon"
"[english]DOTA_GameMode_19"	"Dark Moon"
"DOTA_HUD_Round"	"RUNDA"
"[english]DOTA_HUD_Round"	"ROUND"
"DOTA_HUD_EnemiesRemaining"	"FIENDER KVAR:"
"[english]DOTA_HUD_EnemiesRemaining"	"ENEMIES REMAINING:"
"DOTA_HUD_NextRound"	"NÄSTA RUNDA: "
"[english]DOTA_HUD_NextRound"	"NEXT ROUND: "
"DOTA_HUD_RoundStart"	"NY RUNDA!"
"[english]DOTA_HUD_RoundStart"	"ROUND START!"
"DOTA_HUD_Victory"	"SEGER!"
"[english]DOTA_HUD_Victory"	"VICTORY!"
"DOTA_HUD_Defeat"	"FÖRLUST!"
"[english]DOTA_HUD_Defeat"	"DEFEAT!"
"DOTA_HUD_Kills"	"DÖDADE"
"[english]DOTA_HUD_Kills"	"KILLS"
"DOTA_HUD_Deaths"	"DÖDSFALL"
"[english]DOTA_HUD_Deaths"	"DEATHS"
"DOTA_HUD_Saves"	"RÄDDADE"
"[english]DOTA_HUD_Saves"	"REVIVES"
"DOTA_HUD_Bags"	"SÄCKAR"
"[english]DOTA_HUD_Bags"	"BAGS"
"DOTA_HUD_PlayAgain"	"Spela igen?"
"[english]DOTA_HUD_PlayAgain"	"Play Again?"
"DOTA_HUD_Yes"	"JA"
"[english]DOTA_HUD_Yes"	"YES"
"DOTA_HUD_No"	"NEJ"
"[english]DOTA_HUD_No"	"NO"
"DOTA_HUD_Score"	"RESULTAT"
"[english]DOTA_HUD_Score"	"ROUND SCORE"
"DOTA_HUD_TowersRemaining"	"TORN KVAR"
"[english]DOTA_HUD_TowersRemaining"	"TOWERS REMAINING"
"DOTA_HUD_GoldBags"	"INSAMLADE GULDSÄCKAR"
"[english]DOTA_HUD_GoldBags"	"GOLD BAGS COLLECTED"
"DOTA_HUD_GoldBagsMissed"	"MISSADE GULDSÄCKAR"
"[english]DOTA_HUD_GoldBagsMissed"	"GOLD BAGS MISSED"
"DOTA_HUD_TeamDeaths"	"DÖDSFALL (LAG)"
"[english]DOTA_HUD_TeamDeaths"	"TEAM DEATHS"
"DOTA_HUD_DarkMoonPoints"	"POÄNG"
"[english]DOTA_HUD_DarkMoonPoints"	"POINTS"
"DOTA_HUD_ThisRound"	"POÄNG DENNA RUNDA"
"[english]DOTA_HUD_ThisRound"	"POINTS THIS ROUND"
"DOTA_HUD_TotalPoints"	"SAMMANLAGDA POÄNG DENNA MATCH"
"[english]DOTA_HUD_TotalPoints"	"TOTAL POINTS EARNED THIS MATCH"
"DOTA_HUD_RankThisRound"	"RANG DENNA RUNDA"
"[english]DOTA_HUD_RankThisRound"	"RANK THIS ROUND"
"DOTA_HUD_RankInfoIcon"	"Rang avgörs beroende på hur många torn som kvarstod, guldsäckar som samlades in, och hur många som dog i laget. Rangen påverkar ej intjänade poäng."
"[english]DOTA_HUD_RankInfoIcon"	"Rank is determined based off performance on Towers Remaining, Gold Bags Collected, and Total Team Deaths.  Points earned are not affected by Rank."
"DOTA_HUD_Mute"	"TYSTA"
"[english]DOTA_HUD_Mute"	"MUTE"
"dota_game_end_victory_title_radiant"	"Dark Moon förhindrades!"
"[english]dota_game_end_victory_title_radiant"	"Dark Moon Averted!"
"dota_game_end_victory_title_dire"	"Förlust!"
"[english]dota_game_end_victory_title_dire"	"Defeated!"
"DOTA_Holdout_Award_MostDeadly_Title"	"Dödligast"
"[english]DOTA_Holdout_Award_MostDeadly_Title"	"Most Deadly"
"DOTA_Holdout_Award_MostDeadly_Desc"	" dödade flest denna runda"
"[english]DOTA_Holdout_Award_MostDeadly_Desc"	" got the most kills this round "
"DOTA_Holdout_Award_MostSaves_Title"	"Fältsjukvårdare"
"[english]DOTA_Holdout_Award_MostSaves_Title"	"Field Medic"
"DOTA_Holdout_Award_MostSaves_Desc"	" räddade flest spelare denna runda"
"[english]DOTA_Holdout_Award_MostSaves_Desc"	" revived the most other players this round "
"DOTA_Holdout_Award_MostBags_Title"	"Krösus"
"[english]DOTA_Holdout_Award_MostBags_Title"	"Eyes on the Prize"
"DOTA_Holdout_Award_MostBags_Desc"	" samlade in flest guldsäckar denna runda"
"[english]DOTA_Holdout_Award_MostBags_Desc"	" picked up the most gold bags this round "
"DOTA_Holdout_Award_LeastDeaths_Title"	"Överlevare"
"[english]DOTA_Holdout_Award_LeastDeaths_Title"	"Stayin' Alive"
"DOTA_Holdout_Award_LeastDeaths_Desc"	"dog minst denna runda"
"[english]DOTA_Holdout_Award_LeastDeaths_Desc"	" had the least deaths this round "
"DOTA_Holdout_Award_MostPotions_Title"	"Botten upp"
"[english]DOTA_Holdout_Award_MostPotions_Title"	"All for Me"
"DOTA_Holdout_Award_MostPotions_Desc"	"tog flest trolldrycker denna runda"
"[english]DOTA_Holdout_Award_MostPotions_Desc"	" took the most potions this round "
"DOTA_Holdout_Award_Clutched_Title"	"Nära ögat"
"[english]DOTA_Holdout_Award_Clutched_Title"	"Clutched"
"DOTA_Holdout_Award_Clutched_Desc"	"vann rundan som den sista överlevande"
"[english]DOTA_Holdout_Award_Clutched_Desc"	" won the round as the last one alive "
"DOTA_Holdout_Award_MostDeaths_Title"	"Mod eller dumhet?"
"[english]DOTA_Holdout_Award_MostDeaths_Title"	"Bravery, or Stupidity?"
"DOTA_Holdout_Award_MostDeaths_Desc"	"dog mest den rundan"
"[english]DOTA_Holdout_Award_MostDeaths_Desc"	" had the most deaths that round "
"DOTA_Holdout_Award_KillingSpree_Title"	"Killing Spree"
"[english]DOTA_Holdout_Award_KillingSpree_Title"	"Killing Spree"
"DOTA_Holdout_Award_KillingSpree_Desc"	"har en serie på 100 dödade utan att dö"
"[english]DOTA_Holdout_Award_KillingSpree_Desc"	" has a streak of 100 kills without dying "
"DOTA_Holdout_Award_Dominating_Title"	"Dominating"
"[english]DOTA_Holdout_Award_Dominating_Title"	"Dominating"
"DOTA_Holdout_Award_Dominating_Desc"	"har en serie på 200 dödade utan att dö"
"[english]DOTA_Holdout_Award_Dominating_Desc"	" has a streak of 200 kills without dying "
"DOTA_Holdout_Award_MegaKill_Title"	"Mega Kill"
"[english]DOTA_Holdout_Award_MegaKill_Title"	"Mega Kill"
"DOTA_Holdout_Award_MegaKill_Desc"	"har en serie på 300 dödade utan att dö"
"[english]DOTA_Holdout_Award_MegaKill_Desc"	" has a streak of 300 kills without dying "
"DOTA_Holdout_Award_Unstoppable_Title"	"Unstoppable"
"[english]DOTA_Holdout_Award_Unstoppable_Title"	"Unstoppable"
"DOTA_Holdout_Award_Unstoppable_Desc"	"har en serie på 400 dödade utan att dö"
"[english]DOTA_Holdout_Award_Unstoppable_Desc"	" has a streak of 400 kills without dying "
"DOTA_Holdout_Award_WickedSick_Title"	"Wicked Sick"
"[english]DOTA_Holdout_Award_WickedSick_Title"	"Wicked Sick"
"DOTA_Holdout_Award_WickedSick_Desc"	" har en serie på 500 dödade utan att dö"
"[english]DOTA_Holdout_Award_WickedSick_Desc"	" has a streak of 500 kills without dying "
"DOTA_Holdout_Award_MonsterKill_Title"	"Monster Kill"
"[english]DOTA_Holdout_Award_MonsterKill_Title"	"Monster Kill"
"DOTA_Holdout_Award_MonsterKill_Desc"	" har en serie på 600 dödade utan att dö"
"[english]DOTA_Holdout_Award_MonsterKill_Desc"	" has a streak of 600 kills without dying "
"DOTA_Holdout_Award_GodLike_Title"	"Godlike"
"[english]DOTA_Holdout_Award_GodLike_Title"	"Godlike"
"DOTA_Holdout_Award_GodLike_Desc"	" har en serie på 700 dödade utan att dö"
"[english]DOTA_Holdout_Award_GodLike_Desc"	" has a streak of 700 kills without dying "
"DOTA_Holdout_Award_Beyond_GodLike_Title"	"Beyond Godlike"
"[english]DOTA_Holdout_Award_Beyond_GodLike_Title"	"Beyond Godlike"
"DOTA_Holdout_Award_Beyond_GodLike_Desc"	" har en serie på 800 dödade utan att dö"
"[english]DOTA_Holdout_Award_Beyond_GodLike_Desc"	" has a streak of 800 kills without dying "
"DOTA_Holdout_Award_UltraKill_Title"	"Ultra Kill"
"[english]DOTA_Holdout_Award_UltraKill_Title"	"Ultra Kill"
"DOTA_Holdout_Award_UltraKill_Desc"	" dödade 25 eller fler creeps på kort tid"
"[english]DOTA_Holdout_Award_UltraKill_Desc"	" killed 25 or more creeps in a short time "
"DOTA_Holdout_Award_Rampage_Title"	"RAMPAGE"
