"lang"
{
	"Language"		"danish"
	"Tokens"
	{		
		"DOTA_Tooltip_ability_item_bag_of_gold"								"Guldpose"
		"DOTA_GameMode_15"													"Dark Moon"
		"DOTA_GameMode_19"													"Dark Moon"
		"DOTA_HUD_Round"													"RUNDE"
		"DOTA_HUD_EnemiesRemaining"											"RESTERENDE FJENDER:"
		"DOTA_HUD_NextRound"												"NÆSTE RUNDE: "
		"DOTA_HUD_RoundStart"												"RUNDESTART!"
		"DOTA_HUD_Victory"													"SEJR!"
		"DOTA_HUD_Defeat"													"NEDERLAG!"
		"DOTA_HUD_Kills"													"DRAB"
		"DOTA_HUD_Deaths"													"DØDSFALD"
		"DOTA_HUD_Saves"													"GENOPL."
		"DOTA_HUD_Bags"														"POSER"
		"DOTA_HUD_PlayAgain"												"Spil igen?"
		"DOTA_HUD_Yes"														"JA"
		"DOTA_HUD_No"														"NEJ"
		"DOTA_HUD_Score"													"RUNDESCORE"
		"DOTA_HUD_TowersRemaining"											"RESTERENDE TÅRNE"
		"DOTA_HUD_GoldBags"													"GULDPOSER INDSAMLET"
		"DOTA_HUD_GoldBagsMissed"											"GULDPOSER MISSET"
		"DOTA_HUD_TeamDeaths"												"HOLD-DØDSFALD"
		"DOTA_HUD_DarkMoonPoints"											"POINT"	
		"DOTA_HUD_ThisRound"												"POINT DENNE RUNDE"	
		"DOTA_HUD_TotalPoints"												"POINT I ALT DENNE KAMP"
		"DOTA_HUD_RankThisRound"											"VURDER DENNE RUNDE"
		"DOTA_HUD_RankInfoIcon"												"Rangen bestemmes ud fra antal tilbageværende tårne, indsamlede guldposer og hold-dødsfald i alt. Rangen påvirker ikke antal optjente point."
		"DOTA_HUD_Mute"														"DÆMP"

		"dota_game_end_victory_title_radiant"	"Dark Moon afværget!"
		"dota_game_end_victory_title_dire"		"Besejret!"

		"DOTA_Holdout_Award_MostDeadly_Title"								"Mest dødelige"
		"DOTA_Holdout_Award_MostDeadly_Desc"								" fik flest drab i denne runde"
		"DOTA_Holdout_Award_MostSaves_Title"								"Feltlæge"
		"DOTA_Holdout_Award_MostSaves_Desc"									" genoplivede flest andre spillere i denne runde"
		"DOTA_Holdout_Award_MostBags_Title"									"Øjnene på prisen"
		"DOTA_Holdout_Award_MostBags_Desc"									" samlede flest guldposer op i denne runde"
		"DOTA_Holdout_Award_LeastDeaths_Title"								"Den udholdende"
		"DOTA_Holdout_Award_LeastDeaths_Desc"								" havde færrest dødsfald i denne runde"
		"DOTA_Holdout_Award_MostPotions_Title"								"Alt til mig"
		"DOTA_Holdout_Award_MostPotions_Desc"								" tog flest eliksirer i denne runde"
		"DOTA_Holdout_Award_Clutched_Title"									"Livet som indsats"
		"DOTA_Holdout_Award_Clutched_Desc"									" vandt runden som den sidste i live"
		"DOTA_Holdout_Award_MostDeaths_Title"								"Tapperhed eller dumhed?"
		"DOTA_Holdout_Award_MostDeaths_Desc"								" havde flest dødsfald i denne runde"
		"DOTA_Holdout_Award_KillingSpree_Title"								"Drabsrække"
		"DOTA_Holdout_Award_KillingSpree_Desc"								" har en række på 100 drab uden at dø"
		"DOTA_Holdout_Award_Dominating_Title"								"Dominerende"
		"DOTA_Holdout_Award_Dominating_Desc"								" har en række på 200 drab uden et dødsfald"
		"DOTA_Holdout_Award_MegaKill_Title"									"Mega-drab"
		"DOTA_Holdout_Award_MegaKill_Desc"									" har en række på 300 drab uden et dødsfald"
		"DOTA_Holdout_Award_Unstoppable_Title"								"Ustoppelig"
		"DOTA_Holdout_Award_Unstoppable_Desc"								" har en række på 400 drab uden et dødsfald"
		"DOTA_Holdout_Award_WickedSick_Title"								"Overdrevet ondsindet"
		"DOTA_Holdout_Award_WickedSick_Desc"								" har en række på 500 drab uden et dødsfald"
		"DOTA_Holdout_Award_MonsterKill_Title"								"Monsterdrab"
		"DOTA_Holdout_Award_MonsterKill_Desc"								" har en række på 600 drab uden et dødsfald"
		"DOTA_Holdout_Award_GodLike_Title"									"Guddommelig"
		"DOTA_Holdout_Award_GodLike_Desc"									" har en række på 700 drab uden et dødsfald"
		"DOTA_Holdout_Award_Beyond_GodLike_Title"							"Mere end guddommelig"
		"DOTA_Holdout_Award_Beyond_GodLike_Desc"							" har en række på 800 drab uden et dødsfald"
		"DOTA_Holdout_Award_UltraKill_Title"								"Ultradrab"
		"DOTA_Holdout_Award_UltraKill_Desc"									" dræbte 25 eller flere kryb på kort tid"
		"DOTA_Holdout_Award_Rampage_Title"									"GÅET AMOK"
		"DOTA_Holdout_Award_Rampage_Desc"									" dræbte 50 eller flere kryb på kort tid"

		"DOTA_Tooltip_Ability_item_health_potion"							"Helbredseliksir"
		"DOTA_Tooltip_Ability_item_mana_potion"								"Manaeliksir"					

		// Creature Ability Names
		"DOTA_Tooltip_Ability_creature_aura_health_regen"					"Healing Aura"
		"DOTA_Tooltip_Ability_creature_acid_spray"							"Burst"
		"DOTA_Tooltip_Ability_creature_summon_undead"						"Summon Zombies"
		"DOTA_Tooltip_ability_creature_summon_undead_Description"			"Hidkalder en horde af zombier."
		"DOTA_Tooltip_Ability_creature_zombie_berserk"						"Berserk"
		"DOTA_Tooltip_Ability_custom_ogre_magi_bloodlust"					"Carnal Bloodlust"
		"DOTA_Tooltip_ability_custom_ogre_magi_bloodlust_Description"		"Ophidser en galskab i en allieret enhed, hvilket øger dens bevægelses- og angrebshastighed."
		"DOTA_Tooltip_Ability_creature_melee_smash"							"Smash"
		"DOTA_Tooltip_Ability_lesser_nightcrawler_pounce"					"Pounce"
		"DOTA_Tooltip_Ability_creature_sprint"								"Sprint"
		"DOTA_Tooltip_ability_creature_sprint_Description"					"Bonus-bevægelseshastighed når aktiveret."
		"DOTA_Tooltip_Ability_creature_slithereen_crush"					"Bash"
		"DOTA_Tooltip_Ability_creature_force_of_nature"						"Summon Treant"
		"DOTA_Tooltip_Ability_creature_spin_web"							"Spin Web"
		"DOTA_Tooltip_ability_creature_spin_web_Description"				"Et klistret spind bliver spundet."
		"DOTA_Tooltip_Ability_creature_spawn_broodmother_eggs"				"Lay Eggs"
		"DOTA_Tooltip_ability_creature_spawn_broodmother_eggs_Description"	"Lægger adskillige æg."
		"DOTA_Tooltip_Ability_creature_self_haste"							"Haste"
		"DOTA_Tooltip_ability_creature_self_haste_Description"				"Passiv bevægelseshastighedsbonus."
		"DOTA_Tooltip_Ability_creature_hatch_broodmother"					"Hatch"
		"DOTA_Tooltip_ability_creature_hatch_broodmother_Description"		"Sandsynligvis noget uønsket."
		"DOTA_Tooltip_Ability_creature_spawn_spider"						"Spawn Spiderlings"
		"DOTA_Tooltip_ability_creature_spawn_spider_Description"			"Udklækker adskillige små edderkopper, der kan angribe mål i nærheden."
		"DOTA_Tooltip_Ability_creature_fire_breath"							"Breathe Fire"
		"DOTA_Tooltip_Ability_creature_aoe_spikes"							"Split Earth"
		"DOTA_Tooltip_Ability_creature_split_a"								"Crumble"
		"DOTA_Tooltip_Ability_creature_split_b"								"Crumble"
		"DOTA_Tooltip_Ability_creature_meat_hook"							"Giant Meat Hook"
		"DOTA_Tooltip_ability_creature_meat_hook_Description"				"Herover med dig!"
		"DOTA_Tooltip_Ability_creature_dismember"							"Dismember"
		"DOTA_Tooltip_Ability_holdout_gyrocopter_homing_missile"			"Launch Missile"
		"DOTA_Tooltip_ability_holdout_gyrocopter_homing_missile_Description"	"Affyrer et søgende missil mod et mål."
		"DOTA_Tooltip_Ability_holdout_ancient_apparition_ice_blast"			"Ice Blast"
		"DOTA_Tooltip_Ability_creature_minor_chain_frost"					"Chain Frost"
		"DOTA_Tooltip_modifier_holdout_gods_strength"						"God's Strength"
		"DOTA_Tooltip_ability_holdout_gods_strength_Description"			"Base damage increased by %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%, strength increased by %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%, and cooldowns reduced when making a kill."
		"DOTA_Tooltip_aura_health_regen"									"Healing Aura"
		"DOTA_Tooltip_witch_buff"											"Angrebshastighedsbonus"
				
		"DOTA_Tooltip_ice_blast_slow"										"Ice Blast-hæmning"
		
		"DOTA_Tooltip_tower_fortification_modifier"							"Fortification"
		"DOTA_Tooltip_creature_slithereen_crush_slow"						"Lammet"

		// Creature names
		"npc_dota_creature_worg"					"Worg"
		"npc_dota_creature_alpha_worg"				"Alpha Worg"
		"npc_dota_creature_wildwing_laborer"		"Tamed Wildwing"
		"npc_dota_creature_dazzle"					"Acolyte of Dezun"
		"npc_dota_creature_hellbear"				"Hell Bear"
		"npc_dota_creature_nyx_assassin"			"Zealot Scarab"
		"npc_dota_creature_morphling_small"			"Lesser Elemental"
		"npc_dota_creature_morphling_big"			"Greater Elemental"
